#  Detector,Energy,Pixel,Amplitude,Center,Width,Background,lowerBin,upperBin,A4Offset
5.600000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.075501401970000046e+02,3.000000000000000000e+00,3.350789309083085143e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000178e+01
5.700000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.591763918110000020e+02,3.500000000000000000e+00,2.430600537752438672e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000178e+01
5.800000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.009602314060000054e+02,4.000000000000000000e+00,2.148814528860184314e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000178e+01
5.900000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.739425161740000192e+01,4.500000000000000000e+00,1.850644358287425906e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000178e+01
6.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.320867192890000297e+01,2.500000000000000000e+00,5.176916291412031690e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,7.500000000000004441e+00
6.100000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.888199293030000092e+01,3.000000000000000000e+00,3.717931810907153967e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,7.500000000000004441e+00
6.200000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.457821381580000093e+02,3.500000000000000000e+00,2.517092382851026766e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,7.500000000000004441e+00
6.300000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.652196932139999319e+01,4.000000000000000000e+00,2.265807045314575774e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,7.500000000000004441e+00
6.400000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.591773682049999934e+02,4.500000000000000000e+00,1.403514077058253484e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,7.500000000000004441e+00
6.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.396674720939999759e+01,2.500000000000000000e+00,4.891936741516129672e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000888e+00
6.600000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.143686670759999942e+02,3.000000000000000000e+00,3.535885325125994072e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000888e+00
6.700000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.260732708110000004e+02,3.500000000000000000e+00,2.369479094521346862e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000888e+00
6.800000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.216412571460000009e+02,4.000000000000000000e+00,2.101607787351320589e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000888e+00
